Supernova	z	Distance Modulus	Uncertainty in Distance Modulus	Status	HST			
SN1999fw	0.278	41	0.41	gold				
SN1999fk	1.056	44.25	0.23	gold				
SN1999fm	0.949	43.99	0.25	gold				
SN1999fj	0.815	43.76	0.33	gold				
SN1999ff	0.455	42.29	0.28	gold				
SN1999fv	1.19	44.19	0.34	gold			
SN1999fn	0.477	42.38	0.21	gold				
SN1999gp	0.026	35.62	0.2	gold				
SN2000B	0.0193	34.59	0.23	gold				
SN2000bk	0.0266	35.36	0.21	gold				
SN2000cf	0.036	36.39	0.18	gold				
SN2000cn	0.0233	35.14	0.21	gold			
SN2000dk	0.0164	34.41	0.24	gold				
SN2000dz	0.5	42.75	0.24	gold				
SN2000eh	0.49	42.41	0.25	gold				
SN2000ee	0.47	42.74	0.23	gold				
SN2000eg	0.54	41.96	0.41	gold			
SN2000ec	0.47	42.77	0.21	gold				
SN2000fr	0.543	42.68	0.19	gold				
SN2000fa	0.0218	35.06	0.21	gold				
SN2001V	0.0162	34.13	0.23	gold				
SN2001fs	0.873	43.75	0.38	gold				
SN2001fo	0.771	43.12	0.17	gold				
SN2001hy	0.811	43.97	0.35	gold				
SN2001hx	0.798	43.88	0.31	gold				
SN2001hs	0.832	43.55	0.29	gold				
SN2001hu	0.882	43.9	0.3	gold				
SN2001iw	0.34	40.71	0.27	gold				
SN2001iv	0.397	40.89	0.3	gold				
SN2001iy	0.57	42.88	0.31	gold				
SN2001ix	0.71	43.05	0.32	gold				
SN2001jp	0.528	42.77	0.25	gold				
SN2001jh	0.884	44.23	0.19	gold			
SN2001jf	0.815	44.09	0.28	gold				
SN2001jm	0.977	43.91	0.26	gold			
SN2002dc	0.475	42.14	0.19	gold				
SN2002dd	0.95	44.06	0.26	gold				
SN2002fw	1.3	45.27	0.19	gold	Yes			
SN2002hr	0.526	43.01	0.27	gold	Yes			
SN2002hp	1.305	44.7	0.22	gold	Yes		
SN2002kd	0.735	43.09	0.19	gold	Yes			
SN2002ki	1.14	44.84	0.3	gold	Yes			
SN2003az	1.265	45.2	0.2	gold	Yes			
SN2003ak	1.551	45.3	0.22	gold	Yes			
SN2003bd	0.67	43.19	0.28	gold	Yes			
SN2003be	0.64	43.07	0.21	gold	Yes			
SN2003dy	1.34	45.05	0.25	gold	Yes			
SN2003es	0.954	44.28	0.31	gold	Yes			
SN2003eq	0.839	43.86	0.22	gold	Yes			
SN2003eb	0.899	43.64	0.25	gold	Yes			
SN2003lv	0.94	43.87	0.2	gold	Yes			
